graphics_card,motherboard_chipset,name,price,processor_type
GeForce GTX 1650,Intel H510  (Asus H510M-A),Komputronik Infinity X500 [AX4],4499.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)"
Geforce RTX 3060,Intel B560  (MSI B560-A PRO),Komputronik Infinity X511 [K2],5690.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)"
GeForce GTX 1660 SUPER,Intel H410,Komputronik Infinity X510 [M1],3999.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)"
Geforce RTX 3060,Intel B560  (Asus B560M-A),Komputronik Infinity X511 [J2],5990.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)"
GeForce GTX 1650,Intel H470  (ASUS PRIME H410M-K R2.0),Komputronik Infinity X510 [N2],3999.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)"
GeForce GTX 1650,Intel H470  (ASUS PRIME H410M-K R2.0),Komputronik Infinity X510 [N1],3299.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)"
GeForce GTX 1650,Intel H510  (Asus H510M-D),Komputronik Infinity X511 [F2],4399.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)"
GeForce RTX 3060 Ti,Intel B660  (ASUS PRIME B660M-A D4),Komputronik Ultimate X712 [B4],9190.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)"
GeForce GTX 1650,Intel H610  (ASUS PRIME H610M-E D4),Komputronik Infinity X312 [A2],3999.0,"i3-12100F (3.3 GHz, 4.3 GHz Turbo, 12MB Cache 58W)"
Geforce RTX 3060,Intel H610  (Asus H610M-A D4),Komputronik Infinity X312 [D2],5190.0,"i3-12100F (3.3 GHz, 4.3 GHz Turbo, 12MB Cache 58W)"
GeForce GTX 1650,Intel H470  (ASUS PRIME H410M-K R2.0),Komputronik Infinity X300 [B2],3499.0,"i3-10100F (3.60 GHz, 4.30 GHz Turbo, 6 MB Cache, 65W)"
GeForce GTX 1650,Intel H610  (Asus H610M-A D4),Komputronik Infinity X512 [D4],4990.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)"
Geforce RTX 3060,AMD B550  (Gigabyte B550 AORUS ELITE V2),Komputronik Infinity R550 [M2],6490.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)"
Geforce RTX 3050,Intel H610  (ASUS PRIME H610M-E D4),Komputronik Infinity X512 [B2],5490.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)"
Geforce RTX 3060,Intel B660  (ASUS PRIME B660M-A WIFI D4),Komputronik Infinity X512 [E2],6490.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)"
GeForce GTX 1660 SUPER,Intel H410,Komputronik Infinity X510 [M2],4999.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)"
Geforce RTX 3060  (Gigabyte GeForce RTX 3060 Gaming 12GB),AMD B550  (Gigabyte B550 Aorus Elite V2),Komputronik Infinity R550 [F2],6690.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)"
GeForce GTX 1650,Intel H610  (Asus H610M-A D4),Komputronik Infinity X512 [D7],4299.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)"
GeForce GTX 1650,Intel H510  (Asus H510M-D),Komputronik Infinity X511 [F1],3499.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)"
GeForce GTX 1650,Intel H510  (Asus H510M-D),Komputronik Infinity X511 [F3],3499.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)"
Geforce RTX 3060,Intel Z590,Komputronik Infinity X711 [D2],8790.0,"i7-11700K (3.8 GHz, 5.1 GHz Turbo, 16MB Cache, 125W)"
GeForce RTX 3060 Ti,Intel B560,Lenovo Legion T5-26IOB6 (90RT00S9PL),5099.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)"
GeForce RTX 3080 Ti,Intel Z690,Komputronik Infinity LC-900 [J02],28490.0,"i9-12900KS (3.4 GHz, 5.5 GHz Turbo, 30MB Cache, 150W)"
GeForce GTX 1650,Intel H510  (Asus H510M-D),Komputronik Infinity X511 [F4],4799.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)"
GeForce RTX 3060 Ti,Intel B560,Lenovo Legion T5-26IOB6 (90RT00CDPL),5999.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)"
GeForce RTX 3070 Ti,Intel B660  (ASUS PRIME B660M-A D4),Komputronik Ultimate X712 [C4],10990.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)"
GeForce GTX 1650,Intel H610  (Asus H610M-A D4),Komputronik Infinity X312 [B2],4199.0,"i3-12100F (3.3 GHz, 4.3 GHz Turbo, 12MB Cache 58W)"
GeForce GTX 1650,Intel H610  (Asus H610M-A D4),Komputronik Infinity X512 [D1],4299.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)"
GeForce RTX 3060 Ti,Intel Z690  (Asus Z690-P WIFI D4),Komputronik Infinity X712 [A2],9990.0,"i7-12700KF (3.6 GHz, 5.0 GHz Turbo, 25MB Cache 125W)"
Geforce RTX 3050,Intel H610  (Asus H610M-A D4),Komputronik Infinity X512 [F2],5890.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)"
Geforce RTX 3060,Intel B560  (ASUS PRIME B560M-A),Komputronik Infinity X510 [T2],5490.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)"
Geforce RTX 3060,AMD B550,ASUS ROG Strix G10DK-R5600X111W,5199.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)"
GeForce RTX 3060 Ti,Intel B560,Acer Nitro 50 (DG.E2DEP.00P),4399.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)"
Geforce RTX 3060,Intel B560  (Gigabyte B560M Aorus Elite),Komputronik Infinity X510 [K1],5290.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)"
