name,price,processor_type,graphics_card,motherboard_chipset
Komputronik Infinity X511 [K2],5690.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560  (MSI B560-A PRO)
Komputronik Infinity X512 [N8],8590.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ROG STRIX B660-I GAMING WIFI)
Komputronik Infinity X512 [N5],7590.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ROG STRIX B660-I GAMING WIFI)
ASUS ROG Strix GL10CS-PL131AT - 256GB M.2 PCIe | 16GB,4099.0,"i5-9400 (2.9 GHz, 4.1 GHz Turbo, 9 MB Cache)",GeForce RTX 2060,Intel B360
Komputronik Ultimate X711 [L4],10690.0,"i7-11700KF (3.6 GHz, 5.0 GHz Turbo, 16MB Cache, 125W)",GeForce RTX 3070 Ti,Intel Z590  (Gigabyte Z590 Gaming X)
MSI MAG Infinite S 10TC-090EU - 1TB M.2 PCIe + 1TB HDD | 32GB,5690.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3060,Intel H410
Komputronik Ultimate X711 [H3],7990.0,"i7-11700K (3.8 GHz, 5.1 GHz Turbo, 16MB Cache, 125W)",GeForce RTX 3070,Intel Z590  (Asus Z590-P)
Komputronik Infinity X312 [A3],4049.0,"i3-12100F (3.3 GHz, 4.3 GHz Turbo, 12MB Cache 58W)",GeForce GTX 1650,Intel H610  (ASUS PRIME H610M-E D4)
Komputronik Infinity X712 [B3],8190.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X512 [M1],8790.0,"i5-12600KF (3.7 GHz, 4.9 GHz Turbo, 20MB Cache, 125W)",GeForce RTX 3060 Ti,Intel Z690  (ASUS PRIME Z690-P D4)
Komputronik Infinity R550 [P5],5290.0,"5 5500 (3.6 GHz, 4.2 GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3050,AMD B550
Komputronik Infinity R550 [R5],6090.0,"5 5600 (3.5GHz, 4.4GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550  (Gigabyte B550 GAMING X V2)
Komputronik Infinity R550 [K8],7290.0,"5 5600 (3.5GHz, 4.4GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550  (Gigabyte B550 GAMING X V2)
ASUS ROG Strix G15DK-R5800X2190 - 1TB M.2 PCIe | 24GB,7090.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",GeForce RTX 3070,AMD B550
ASUS ROG Strix G15DK-R5800X2190 - 512GB M.2 PCIe | Windows 11 Home,7290.0,"7 5800X (3.8GHz, 4.7GHz Turbo, 32MB Cache, 105W)",GeForce RTX 3070,AMD B550
ASUS ROG Strix G10DK-R5600X111W - 1TB M.2 PCIe | 24GB,5890.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550
Komputronik Infinity X512 [J4],7190.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3060,Intel B660  (Gigabyte B660M DS3H AX DDR4)
Komputronik Infinity X511 [F8],5190.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",GeForce GTX 1650,Intel H510  (Asus H510M-D)
Komputronik Infinity X512 [F4],5990.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3050,Intel H610  (Asus H610M-A D4)
Komputronik Infinity HC512 [A01],8490.0,"i5-12600K (3.7 GHz, 4.9 GHz Turbo, 20MB Cache, 125W)",GeForce RTX 3060 Ti,Intel Z690  (ASUS Prime Z690-P Wifi D4)
Komputronik Infinity R550 [K2],6790.0,"5 5600 (3.5GHz, 4.4GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550  (Gigabyte B550 GAMING X V2)
Komputronik Infinity X510 [S2],4199.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",GeForce GTX 1650,Intel H510  (ASUS PRIME H510M-E)
Komputronik Infinity X511 [K3],6290.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560  (MSI B560-A PRO)
Komputronik Infinity X712 [B1],7790.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X511 [N5],6290.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560  (Gigabyte B560M DS3H V2)
Komputronik Infinity X511 [N7],6490.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560  (Gigabyte B560M DS3H V2)
Komputronik Infinity X511 [N8],7190.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560  (Gigabyte B560M DS3H V2)
Komputronik Infinity X510 [T1],5690.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3060,Intel B560  (ASUS PRIME B560M-A)
Komputronik Infinity X511 [J3],5990.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560  (Asus B560M-A)
Komputronik Infinity X712 [C5],7990.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X510 [K3],5490.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",Geforce RTX 3060,Intel B560  (Gigabyte B560M Aorus Elite)
Komputronik Infinity X712 [D5],7690.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X712 [D6],8290.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ASUS PRIME B660M-A D4)
Lenovo IdeaCentre Gaming 5-14ACN6 (90RW002WPB) - 1TB M.2 PCIe | Windows 11 Home,5390.0,"5 5600G (3.9GHz, 4.4GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3060,
Komputronik Infinity X712 [E5],7490.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X712 [D1],7190.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ASUS PRIME B660M-A D4)
ASUS ROG Strix G10DK-R5600X111W - 512GB M.2 PCIe | 24GB,5690.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550
ASUS ROG Strix G10DK-R5600X111W - 512GB M.2 PCIe | 32GB,5790.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550
ASUS ROG Strix G10DK-R5600X111W - 1TB M.2 PCIe | 32GB,6090.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550
ASUS ROG Strix G10DK-R5600X111W - 1TB M.2 PCIe,5790.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)",Geforce RTX 3060,AMD B550
HP Victus 15L Gaming TG02-0001nw (677F9EA) Metal Mica silver,5990.0,"5 5600G (3.9GHz, 4.4GHz Turbo, 16MB Cache, 65W)",Radeon RX 6600 XT,
HP Victus 15L Gaming TG02-0000nw (677F8EA) Metal Ceramic White,5990.0,"5 5600G (3.9GHz, 4.4GHz Turbo, 16MB Cache, 65W)",Radeon RX 6600 XT,
Komputronik Infinity HC912 [A03],15990.0,"i9-12900 (2.4 GHz, 5.1 GHz Turbo, 30MB Cache 202W)",GeForce RTX 3080 Ti  (Asus TUF),Intel Z690  (ASUS TUF Gaming-Plus WiFi)
Komputronik Infinity HC912 [A01],15690.0,"i9-12900 (2.4 GHz, 5.1 GHz Turbo, 30MB Cache 202W)",GeForce RTX 3080 Ti  (Asus TUF),Intel Z690  (ASUS TUF Gaming-Plus WiFi)
Komputronik Infinity R550 [J2],4990.0,"5 5500 (3.6 GHz, 4.2 GHz Turbo, 16MB Cache, 65W)",Geforce RTX 3050,AMD B550
Komputronik Infinity X712 [E8],8490.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",Geforce RTX 3060,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity R550 [N2],7190.0,"5 5600X (3.7GHz, 4.6GHz Turbo, 32MB Cache, 65W)",GeForce RTX 3060 Ti,AMD B550  (ASUS PRIME B550-PLUS)
Komputronik Infinity X511 [N3],6190.0,"i5-11400F (2.6 GHz, 4.4 GHz Turbo, 12MB Cache, 65W)",Geforce RTX 3060,Intel B560  (Gigabyte B560M DS3H V2)
Komputronik Infinity X512 [J7],6490.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3060,Intel B660  (Gigabyte B660M DS3H AX DDR4)
Komputronik Ultimate X711 [L3],9790.0,"i7-11700KF (3.6 GHz, 5.0 GHz Turbo, 16MB Cache, 125W)",GeForce RTX 3070 Ti,Intel Z590  (Gigabyte Z590 Gaming X)
Komputronik Infinity X512 [J3],5990.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",Geforce RTX 3060,Intel B660  (Gigabyte B660M DS3H AX DDR4)
Komputronik Infinity X712 [C1],7690.0,"i7-12700F (2.1 GHz, 4.9 GHz Turbo, 25MB Cache, 65W)",GeForce RTX 3060 Ti,Intel B660  (ASUS PRIME B660M-A D4)
Komputronik Infinity X512 [H2],4999.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",GeForce GTX 1650,Intel H610  (Asus H610M-A D4)
Komputronik Infinity X512 [H4],5290.0,"i5-12400F (2.5GHz, 4.4GHz Turbo, 18MB Cache, 65W)",GeForce GTX 1650,Intel H610  (Asus H610M-A D4)
Komputronik Infinity X510 [S4],4699.0,"i5-10400F (2.9 GHz, 4.3 GHz Turbo, 12 MB Cache, 65W)",GeForce GTX 1650,Intel H510  (ASUS PRIME H510M-E)
